node1,node2,time,line,color
262,3,33,4,magenta
263,115,39,3,khaki
264,286,41,3,khaki
265,257,26,8,orchid
266,261,46,7,pink
266,260,37,7,pink
267,39,46,13,aqua
268,337,39,4,magenta
269,190,27,9,olive
270,226,39,5,orange
271,104,40,9,olive
272,131,63,13,aqua
273,249,35,13,aqua
274,80,41,12,darkgreen
275,212,86,1,yellow
276,194,67,12,darkgreen
277,82,47,7,pink
278,357,59,11,brown
279,320,37,3b,aqua
281,69,131,14,purple
281,176,71,14,purple
282,228,49,7,pink
282,224,80,7,pink
283,20,38,11,brown
283,146,33,11,brown
284,235,44,2,blue
284,211,49,2,blue
285,115,70,3,khaki
285,305,61,3,khaki
286,370,35,3,khaki
286,264,41,3,khaki
287,23,57,6,green
287,62,53,6,green
288,118,30,5,orange
288,17,89,5,orange
289,38,38,3,khaki
289,223,43,3,khaki
290,136,73,11,brown
290,7,39,11,brown
291,157,49,9,olive
291,141,37,9,olive
292,95,37,4,magenta
292,361,38,4,magenta
293,96,42,6,green
293,101,43,6,green
294,218,38,12,darkgreen
294,347,46,12,darkgreen
295,212,64,1,yellow
295,119,41,1,yellow
296,205,38,8,orchid
296,105,42,8,orchid
297,40,37,5,orange
297,219,50,5,orange
298,303,46,8,orchid
298,225,75,8,orchid
299,304,48,9,olive
299,60,63,9,olive
300,341,46,7,pink
300,87,43,7,pink
302,246,37,2,blue
302,366,53,2,blue
303,32,41,8,orchid
303,298,46,8,orchid
304,33,41,9,olive
304,299,48,9,olive
305,285,61,3,khaki
305,229,43,3,khaki
306,355,33,9,olive
306,157,36,9,olive
307,215,60,9,olive
307,58,31,9,olive
308,347,29,12,darkgreen
308,338,33,12,darkgreen
309,8,58,3,khaki
309,336,65,3,khaki
310,375,28,4,magenta
310,342,67,4,magenta
311,7,79,11,brown
311,129,49,11,brown
312,229,64,3,khaki
312,350,37,3,khaki
313,219,81,5,orange
313,140,47,5,orange
314,107,49,8,orchid
314,343,98,8,orchid
315,220,80,9,olive
315,344,107,9,olive
316,369,27,9,olive
316,220,35,9,olive
317,133,49,9,olive
317,203,53,9,olive
320,279,37,3b,aqua
320,233,33,3b,aqua
321,100,59,13,aqua
321,359,23,13,aqua
322,217,37,12,darkgreen
322,238,27,12,darkgreen
323,334,47,4,magenta
323,222,42,4,magenta
324,128,42,6,green
324,96,52,6,green
325,175,144,12,darkgreen
325,353,69,12,darkgreen
326,202,112,13,aqua
326,168,49,13,aqua
327,132,40,3,khaki
327,103,44,3,khaki
329,46,46,5,orange
329,118,60,5,orange
330,222,31,4,magenta
330,73,46,4,magenta
331,16,62,1,yellow
331,135,65,1,yellow
332,203,40,9,olive
332,110,37,9,olive
333,208,48,4,magenta
333,334,32,4,magenta
334,333,32,4,magenta
334,323,47,4,magenta
335,61,28,8,orchid
335,107,49,8,orchid
336,309,65,3,khaki
336,38,35,3,khaki
337,192,36,4,magenta
337,268,39,4,magenta
338,308,33,12,darkgreen
338,9,28,12,darkgreen
339,142,27,2,blue
339,151,93,2,blue
340,125,107,5,orange
340,143,29,5,orange
341,169,54,7,pink
341,300,46,7,pink
342,310,67,4,magenta
342,65,41,4,magenta
343,314,98,8,orchid
343,32,54,8,orchid
344,315,107,9,olive
344,33,52,9,olive
345,149,79,7,pink
345,254,75,7,pink
346,174,72,10,gold
346,358,33,10,gold
347,294,46,12,darkgreen
347,308,29,12,darkgreen
348,232,46,6,green
348,45,43,6,green
349,99,54,10,gold
349,154,33,10,gold
350,312,37,3,khaki
350,8,38,3,khaki
351,85,46,2,blue
351,56,59,2,blue
352,184,36,7,pink
352,244,37,7,pink
353,325,69,12,darkgreen
353,217,29,12,darkgreen
354,230,62,6,green
354,30,24,6,green
355,139,46,9,olive
355,306,33,9,olive
356,227,38,1,yellow
356,77,57,1,yellow
357,247,23,11,brown
357,278,59,11,brown
358,346,33,10,gold
358,99,31,10,gold
359,321,23,13,aqua
359,137,54,13,aqua
360,80,49,12,darkgreen
360,368,47,12,darkgreen
361,292,38,4,magenta
361,208,42,4,magenta
362,56,75,2,blue
362,256,37,2,blue
366,302,53,2,blue
366,204,51,2,blue
367,103,30,3,khaki
367,189,49,3,khaki
368,360,47,12,darkgreen
368,231,40,12,darkgreen
369,58,31,9,olive
369,316,27,9,olive
